absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
409,1,0,32,104313,Не принято,количественное,"(2 чтение таб. 2 отклонённые поправки - поправка 7) О проекте федерального закона № 157778-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части признания информационных систем объектами соглашения)",33,06.19.2018,О проекте федерального закона № 157778-7
104,1,4,333,104314,Принято,количественное,"(2 чтение) О проекте федерального закона № 157778-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части признания информационных систем объектами соглашения)",338,06.19.2018,О проекте федерального закона № 157778-7
43,0,53,346,104316,Принято,количественное,"О проекте постановления Государственной Думы № 487112-7 ""О годовом отчете Центрального банка Российской Федерации за 2017 год"" О годовом отчете Центрального банка Российской Федерации за 2017 год",399,06.19.2018,О проекте постановления Государственной Думы № 487112-7
111,0,0,331,104317,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 381549-7 ""О внесении изменений в Лесной кодекс Российской Федерации и отдельные законодательные акты Российской Федерации в части совершенствования воспроизводства лесов и лесоразведения""",331,06.19.2018,О проекте федерального закона № 381549-7
112,0,0,330,104318,Принято,количественное,"* (2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 381549-7 ""О внесении изменений в Лесной кодекс Российской Федерации и отдельные законодательные акты Российской Федерации в части совершенствования воспроизводства лесов и лесоразведения""",330,06.19.2018,О проекте федерального закона № 381549-7
95,0,0,347,104319,Принято,количественное,"* (2 чтение) О проекте федерального закона № 381549-7 ""О внесении изменений в Лесной кодекс Российской Федерации и отдельные законодательные акты Российской Федерации в части совершенствования воспроизводства лесов и лесоразведения""",347,06.19.2018,О проекте федерального закона № 381549-7
131,0,0,311,104320,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 381792-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации в целях расширения имущественной поддержки субъектов малого и среднего предпринимательства""",311,06.19.2018,О проекте федерального закона № 381792-7
129,0,0,313,104321,Принято,количественное,"* (2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 381792-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации в целях расширения имущественной поддержки субъектов малого и среднего предпринимательства""",313,06.19.2018,О проекте федерального закона № 381792-7
83,0,0,359,104322,Принято,количественное,"* (2 чтение) О проекте федерального закона № 381792-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации в целях расширения имущественной поддержки субъектов малого и среднего предпринимательства""",359,06.19.2018,О проекте федерального закона № 381792-7
129,1,0,312,104323,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 409638-7 ""О внесении изменений в Федеральный закон ""Об общих принципах организации местного самоуправления в Российской Федерации"" и статью 4 Федерального закона ""О свободном порте Владивосток""",313,06.19.2018,О проекте федерального закона № 409638-7
109,2,0,331,104324,Принято,количественное,"* (2 чтение) О проекте федерального закона № 409638-7 ""О внесении изменений в Федеральный закон ""Об общих принципах организации местного самоуправления в Российской Федерации"" и статью 4 Федерального закона ""О свободном порте Владивосток""",333,06.19.2018,О проекте федерального закона № 409638-7
128,0,0,314,104325,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 175593-7 ""О внесении изменений в Федеральный закон ""О государственной информационной системе топливно-энергетического комплекса"" (в части уточнения определения интеграционного сегмента ГИС ТЭК и дополнения перечня видов информации, подлежащей включению в ГИС ТЭК)",314,06.19.2018,О проекте федерального закона № 175593-7
113,0,0,329,104326,Принято,количественное,"* (2 чтение) О проекте федерального закона № 175593-7 ""О внесении изменений в Федеральный закон ""О государственной информационной системе топливно-энергетического комплекса"" (в части уточнения определения интеграционного сегмента ГИС ТЭК и дополнения перечня видов информации, подлежащей включению в ГИС ТЭК)",329,06.19.2018,О проекте федерального закона № 175593-7
103,0,0,339,104327,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 381746-7 ""О внесении изменений в Федеральный закон ""О закупках товаров, работ, услуг отдельными видами юридических лиц"" и Федеральный закон ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд"" (в части закупок за счет бюджетных средств на осуществление капитальных вложений в объекты капитального строительства и (или) на приобретение объектов недвижимого имущества)",339,06.19.2018,О проекте федерального закона № 381746-7
